name_customer,cust_number,doc_id,total_open_amount,due_in_date,paymentPredictedDate
BJ'S  in,200726979,1930577253,616.57,3/13/2020,3/13/2020
COSTCO corp,140104429,-2147483648,7482.45,3/17/2020,4/3/2020
SUPE trust,200741831,1930571422,10474.34,3/13/2020,3/9/2020
C&S WH ,200762301,1930577263,48693.34,3/13/2020,3/13/2020
C&S WH systems,200762301,1930576160,20817.26,3/13/2020,3/14/2020
BJ'S  trust,200726979,1930573677,682.43,3/13/2020,3/14/2020
ALBERT corp,200881076,1930579920,18438.99,3/13/2020,3/21/2020
WAL-MAR ,200769623,1930571521,8230.8,3/13/2020,3/9/2020
COST corporation,200794332,1930566815,3468.12,3/13/2020,3/8/2020
COST us,200794332,1930570094,63609.49,3/13/2020,3/8/2020
WAL-MAR llc,200769623,1930575216,40224.4,3/13/2020,3/13/2020
BEN E corporation,200980828,1930575274,11212.75,3/13/2020,3/8/2020
BJ'S  associates,200726979,1930571970,804.33,3/13/2020,3/14/2020
WAL-MAR corp,200769623,1930571518,18150.73,3/13/2020,3/14/2020
KRAFT  ,CCCA02,1930576576,19454.3,4/2/2020,3/13/2020
SYSCO F ,200736337,1930557622,11992.04,3/30/2020,3/8/2020
HAN foundation,100035976,1930578666,5927.71,3/13/2020,3/13/2020
HAR in,200762950,1930576007,45113.38,3/13/2020,4/18/2020
JET ,200152991,1930556052,18859.5,3/30/2020,3/13/2020
C associates,200778870,1930577024,10454.82,3/13/2020,3/14/2020
SYSCO F corp,200763814,1930581304,2810.35,3/30/2020,3/8/2020
H SC ,200790543,1930570906,49430.79,3/13/2020,3/14/2020
RESTA llc,200974851,1930573894,348.85,3/13/2020,3/13/2020
WAL-MAR ,200769623,1930581140,1898.2,3/13/2020,3/14/2020
SAVE-ON- systems,140104225,-2147483648,131893.29,3/9/2020,3/8/2020
COST foundation,200794332,1930571625,23696.73,3/13/2020,4/28/2020
WAL-MAR ,200769623,1930567763,16722.99,3/13/2020,3/25/2020
SA llc,200759878,1930567149,44294.54,3/13/2020,3/14/2020
SYSC associates,140105686,-2147483648,9380.75,3/15/2020,4/8/2020
WAL-MAR in,200769623,1930580161,471.56,3/13/2020,3/8/2020
SYGMA us,200782669,1930580158,21107.06,3/13/2020,3/25/2020
WINC ,200706844,1930567336,76784.54,3/13/2020,3/8/2020
DOT foundation,200705742,1930576845,74637.19,3/18/2020,3/8/2020
KROGER llc,200732755,1930576541,14780.25,3/13/2020,3/10/2020
WAL-MAR in,200769623,1930570966,15226.19,3/13/2020,3/16/2020
LABAT llc,200770567,1930567154,58695.38,3/13/2020,3/17/2020
MEIJ llc,200780383,1930576891,50394.62,3/13/2020,3/8/2020
KRAFT  in,CCCA02,1930570822,17756.4,4/2/2020,3/7/2020
MDV/ ,200792734,1930577190,87769.4,3/13/2020,3/18/2020
DOLLA trust,200148860,1930571507,1944.26,5/2/2020,3/25/2020
BJ'S  ,200726979,1930573689,404.73,3/13/2020,3/14/2020
BEN E corp,200980828,1930577412,89481.11,3/18/2020,4/2/2020
SYSCO  corporation,200764795,1930566994,4798.24,3/13/2020,5/2/2020
RESTA llc,200974851,1930579050,920.87,3/18/2020,3/13/2020
SMITH'S foundation,200820380,1930568773,2123.25,5/2/2020,3/8/2020
WAL-MAR co,200769623,1930571519,21787.96,3/13/2020,3/19/2020
WAL-MAR associates,200769623,1930570679,60792.77,3/13/2020,3/18/2020
COST llc,200794332,1930577731,32715.47,3/13/2020,3/15/2020
WAL-MAR corp,200769623,1930570044,14947.08,3/13/2020,3/8/2020
JET in,200152991,1930579953,251.06,3/18/2020,5/6/2020
MCLANE in,200126819,1930572454,48742.47,3/13/2020,5/3/2020
MCL trust,200799367,1930570565,302.29,5/2/2020,3/3/2020
BJ'S  corp,200726979,1930573764,377.46,3/13/2020,3/10/2020
GORDON F associates,140105847,-2147483648,1497.3,3/8/2020,3/8/2020
